单词,词频
status,14
society,14
process,14
phone,14
paid,14
makes,14
look,14
longer,14
involved,14
interest,14
intelligence,14
insurance,14
huge,14
fuel,14
focused,14
effects,14
economy,14
didn,14
degree,14
crops,14
birds,14
billion,14
beyond,14
americans,14
america,14
wrote,13
understanding,13
trying,13
together,13
taken,13
side,13
short,13
service,13
race,13
question,13
provide,13
power,13
point,13
plans,13
members,13
market,13
languages,13
international,13
harm,13
green,13
give,13
fossil,13
focus,13
example,13
early,13
doctors,13
despite,13
designed,13
debris,13
create,13
consumption,13
complex,13
community,13
brain,13
began,13
although,13
ability,13
view,12
tech,12
tasks,12
supply,12
suggest,12
spending,12
spend,12
south,12
shift,12
result,12
operations,12
nothing,12
lower,12
learn,12
knowledge,12
issue,12
influence,12
greater,12
getting,12
expenses,12
european,12
employees,12
effect,12
developing,12
developed,12
competition,12
compared,12
colleagues,12
city,12
believe,12
analysis,12
always,12
alone,12
agreement,12
activities,12
action,12
wrong,11
worth,11
workplace,11
within,11
white,11
welfare,11
video,11
towards,11
throughout,11
tests,11
successful,11
student,11
start,11
rich,11
results,11
remains,11
really,11
project,11
pressure,11
places,11
offer,11
never,11
natural,11
middle,11
means,11
mean,11
lead,11
know,11
kitchen,11
kids,11
insects,11
graduates,11
grade,11
examples,11
effort,11
effectively,11
design,11
cubesats,11
consequences,11
competitions,11
caused,11
cause,11
cars,11
career,11
building,11
build,11
base,11
available,11
approach,11
along,11
adolescents,11
united,10
took,10
thought,10
test,10
television,10
teens,10
sure,10
summer,10
style,10
starting,10
started,10
sometimes,10
someone,10
smart,10
sites,10
simply,10
seen,10
reduce,10
recently,10
recent,10
provides,10
providers,10
professor,10
private,10
present,10
practical,10
post,10
poor,10
period,10
order,10
opportunities,10
needed,10
morgan,10
memory,10
local,10
laws,10
language,10
known,10
kind,10
island,10
increase,10
improve,10
house,10
helped,10
held,10
growth,10
grand,10
grades,10
generation,10
fewer,10
experts,10
experiment,10
encourage,10
employers,10
email,10
earlier,10
dumps,10
done,10
doesn,10
digital,10
decades,10
consumer,10
colleges,10
claims,10
cite,10
changing,10
challenge,10
center,10
cases,10
cannot,10
average,10
asked,10
antarctica,10
actors,10
TRUE,10
women,9
wanted,9
voice,9
systems,9
store,9
stop,9
steps,9
stations,9
station,9
smartphone,9
share,9
seeds,9
scale,9
saying,9
save,9
safety,9
rest,9
responsible,9
relationship,9
raise,9
protection,9
product,9
primarily,9
pose,9
pictures,9
officials,9
offers,9
next,9
news,9
near,9
months,9
macy,9
machines,9
looking,9
least,9
leading,9
iphone,9
investment,9
interactive,9
images,9
idea,9
hope,9
habits,9
groups,9
genetic,9
fuels,9
form,9
fields,9
field,9
fatigue,9
experiences,9
etheridge,9
effective,9
director,9
difficult,9
days,9
daily,9
created,9
concerned,9
concern,9
cola,9
black,9
bill,9
belief,9
behavior,9
aren,9
area,9
anything,9
algorithms,9
agencies,9
activity,9
able,9
york,8
worldwide,8
works,8
week,8
vulnerable,8
variety,8
values,8
upon,8
turn,8
treatment,8
tourists,8
studying,8
storks,8
statistics,8
sportswear,8
sources,8
soon,8
smoking,8
smartphones,8
simple,8
similar,8
significant,8
several,8
security,8
roles,8
reports,8
reported,8
related,8
regions,8
record,8
reason,8
quickly,8
provided,8
produce,8
population,8
play,8
peers,8
patients,8
party,8
outside,8
ones,8
negative,8
necessary,8
naturally,8
models,8
messages,8
matter,8
machine,8
lots,8
loans,8
living,8
lions,8
lifestyle,8
left,8
lake,8
kinds,8
keep,8
journal,8
john,8
individual,8
increasing,8
include,8
hawking,8
happens,8
hacker,8
greenhouse,8
google,8
goods,8
goals,8
famous,8
evidence,8
everyone,8
eventually,8
enjoy,8
engaged,8
ecosystem,8
drug,8
diversity,8
decade,8
damage,8
current,8
culture,8
critical,8
creation,8
courses,8
connected,8
component,8
clothing,8
classes,8
child,8
challenges,8
certain,8
came,8
call,8
brick,8
body,8
became,8
babies,8
authors,8
author,8
attitude,8
appear,8
appeal,8
anywhere,8
animals,8
amateur,8
ahead,8
advice,8
advanced,8
account,8
accessible,8
abilities,8
written,7
whole,7
weather,7
wealth,7
vehicles,7
vacation,7
usually,7
unfortunately,7
type,7
trust,7
trend,7
travel,7
toward,7
tool,7
threat,7
terms,7
teaching,7
task,7
support,7
suffer,7
structural,7
stressed,7
standard,7
specific,7
software,7
size,7
situation,7
shows,7
setting,7
series,7
sensors,7
scores,7
savings,7
round,7
room,7
roman,7
role,7
rodriguez,7
rise,7
residents,7
require,7
remain,7
rate,7
raised,7
psychology,7
psychological,7
productivity,7
produced,7
probably,7
policies,7
plant,7
physical,7
periods,7
peer,7
patterns,7
passages,7
participation,7
paper,7
organization,7
network,7
name,7
model,7
mathematics,7
materials,7
largest,7
jones,7
interests,7
institutions,7
institute,7
innovation,7
inequality,7
increasingly,7
increases,7
increased,7
helping,7
hand,7
grow,7
ground,7
governments,7
goes,7
gives,7
general,7
funding,7
friendly,7
foundation,7
forms,7
follow,7
flamingos,7
finding,7
feedback,7
factors,7
facilities,7
eyes,7
expect,7
everything,7
enables,7
employment,7
elite,7
electronic,7
efficiently,7
driven,7
drive,7
disease,7
discovered,7
designers,7
designer,7
depends,7
delta,7
david,7
cubesat,7
crisis,7
concerns,7
computer,7
campus,7
busy,7
bureau,7
book,7
below,7
beings,7
beginning,7
becoming,7
becomes,7
awareness,7
audience,7
assistance,7
arctic,7
alike,7
again,7
affect,7
advantage,7
writing,6
winter,6
wild,6
widely,6
west,6
weight,6
wealthy,6
viewers,6
valuable,6
uses,6
urban,6
turning,6
trial,6
transport,6
tour,6
tough,6
told,6
thus,6
temperature,6
talent,6
takes,6
survive,6
suffering,6
strong,6
street,6
steel,6
stay,6
starts,6
spanish,6
source,6
snail,6
smaller,6
situations,6
sign,6
showed,6
sense,6
seniors,6
seems,6
second,6
scientist,6
rules,6
rising,6
rights,6
review,6
resurrection,6
resulting,6
responsibility,6
response,6
reserves,6
records,6
reality,6
reach,6
prove,6
professors,6
privacy,6
priority,6
presence,6
poverty,6
playing,6
players,6
planet,6
perspective,6
parts,6
parent,6
overall,6
outsourcing,6
numbers,6
nine,6
natron,6
moving,6
movement,6
move,6
mostly,6
month,6
method,6
measure,6
meanwhile,6
meaning,6
meals,6
massive,6
majority,6
mainly,6
lose,6
limited,6
lifestyles,6
leisure,6
launched,6
launch,6
latest,6
kola,6
klenow,6
invisible,6
investments,6
interactions,6
intensive,6
industries,6
impossible,6
imagine,6
ideas,6
hold,6
healthy,6
hale,6
habit,6
giant,6
generally,6
forward,6
foods,6
flack,6
farms,6
factor,6
fact,6
extract,6
experiments,6
expand,6
existence,6
events,6
essay,6
efficiency,6
educational,6
educated,6
earning,6
diehl,6
descriptions,6
decline,6
decided,6
debt,6
death,6
database,6
cycle,6
creative,6
counts,6
contribute,6
continent,6
connection,6
concepts,6
concept,6
commercial,6
code,6
close,6
circles,6
childhood,6
checking,6
census,6
case,6
capital,6
calls,6
california,6
buildings,6
brand,6
bear,6
basic,6
banks,6
aware,6
attitudes,6
association,6
aspect,6
asleep,6
argued,6
appropriate,6
ancient,6
amount,6
allow,6
advocates,6
advances,6
adolescent,6
zone,5
worry,5
worried,5
wise,5
weren,5
wasn,5
vocal,5
views,5
vehicle,5
various,5
varieties,5
variables,5
unless,5
unique,5
understand,5
trigger,5
treatments,5
treaties,5
traffic,5
tracking,5
town,5
tools,5
tons,5
tolerant,5
tiny,5
tier,5
third,5
technological,5
technical,5
teacher,5
teach,5
taxpayers,5
taught,5
supports,5
studied,5
story,5
standards,5
sports,5
spent,5
speaking,5
solutions,5
sold,5
socially,5
slow,5
skill,5
shops,5
sharply,5
shared,5
sets,5
sensible,5
selling,5
scholars,5
schedules,5
russian,5
routes,5
riders,5
resilience,5
requires,5
reputation,5
released,5
relations,5
regular,5
reflect,5
reasons,5
rearing,5
ready,5
range,5
racial,5
purposes,5
proposal,5
properly,5
projects,5
professional,5
production,5
principle,5
pretty,5
pressing,5
practice,5
powers,5
pool,5
political,5
plain,5
pieces,5
piaget,5
phones,5
personal,5
perform,5
payments,5
passengers,5
participants,5
parenting,5
parental,5
paintings,5
painted,5
outcomes,5
opposition,5
opposed,5
olympiad,5
office,5
obvious,5
observed,5
nuts,5
nurses,5
novel,5
night,5
necessarily,5
nation,5
musk,5
motivated,5
moral,5
modern,5
mixed,5
missing,5
miles,5
migration,5
medicare,5
material,5
mass,5
markets,5
marine,5
list,5
lines,5
leaves,5
larger,5
lagoons,5
labels,5
labeling,5
journals,5
journalism,5
irrigation,5
interested,5
insurers,5
individuals,5
incentives,5
improvement,5
holiday,5
haslam,5
happening,5
happen,5
grows,5
greatly,5
greatest,5
graduate,5
gong,5
goal,5
gets,5
further,5
full,5
forming,5
floor,5
flexibility,5
fine,5
financial,5
filled,5
fell,5
feeling,5
faster,5
fast,5
farming,5
failure,5
fail,5
facing,5
expected,5
examined,5
europe,5
estimates,5
engage,5
emphasis,5
emotional,5
electronics,5
electric,5
ecosystems,5
economies,5
ebro,5
drugs,5
drink,5
diseases,5
directly,5
difficulties,5
differently,5
determine,5
description,5
deposits,5
degrees,5
deep,5
currently,5
currency,5
cultural,5
credit,5
counterparts,5
cooperation,5
contributed,5
continue,5
consider,5
completely,5
compensation,5
communications,5
commenting,5
collaboration,5
cognitive,5
coal,5
closely,5
click,5
citizens,5
channel,5
chain,5
certainly,5
centre,5
cautious,5
capacity,5
campaign,5
cameron,5
brookdale,5
boost,5
books,5
believed,5
behind,5
begin,5
beat,5
battle,5
balance,5
attracted,5
attempt,5
attack,5
aside,5
arts,5
artists,5
article,5
anxiety,5
ants,5
antarctic,5
amsat,5
amounts,5
alert,5
african,5
afford,5
administration,5
active,5
above,5
yudell,4
youth,4
worse,4
wonders,4
willing,4
widespread,4
whereas,4
weekend,4
wear,4
warning,4
wants,4
wall,4
wage,4
volume,4
vary,4
useful,4
untreated,4
union,4
underground,4
unable,4
ultimately,4
twice,4
twenty,4
tried,4
trees,4
tree,4
transition,4
transform,4
train,4
trade,4
tracked,4
topic,4
tomato,4
tobacco,4
thinks,4
taste,4
target,4
talk,4
surprising,4
suppose,4
suggests,4
suggesting,4
sufficient,4
successfully,4
struggle,4
strategy,4
storage,4
stone,4
step,4
staying,4
staff,4
spread,4
spot,4
sound,4
sort,4
solving,4
solution,4
societies,4
snowden,4
slightly,4
skin,4
skating,4
sick,4
shouldn,4
shortage,4
shopping,4
shoppers,4
ships,4
sewage,4
serve,4
sensitive,4
senior,4
secret,4
season,4
search,4
seabirds,4
screen,4
schwartz,4
scary,4
salty,4
safe,4
russia,4
runs,4
robotics,4
risky,4
revolution,4
revenue,4
retailing,4
respond,4
respect,4
resistant,4
resilient,4
repository,4
repair,4
remember,4
rely,4
relation,4
recycling,4
raising,4
quarter,4
pyramid,4
pupils,4
pull,4
psychologist,4
providing,4
proven,4
proved,4
promotion,4
promise,4
profitable,4
processes,4
printing,4
primary,4
previously,4
prestigious,4
president,4
preparation,4
powerful,4
potentially,4
poorly,4
polman,4
plane,4
pizza,4
physicists,4
photo,4
payment,4
paying,4
pasta,4
particular,4
paris,4
paragraph,4
palau,4
painting,4
package,4
pace,4
owners,4
outdated,4
outcome,4
otherwise,4
opportunity,4
opinion,4
operating,4
ocean,4
object,4
norms,4
normal,4
nobody,4
nigeria,4
neurice,4
nervous,4
native,4
monitor,4
moen,4
modification,4
modest,4
mistakes,4
minute,4
minister,4
minds,4
military,4
metals,4
metabolism,4
mention,4
medicines,4
medicine,4
meal,4
matters,4
managing,4
manager,4
malls,4
love,4
livestock,4
likes,4
light,4
leaving,4
leave,4
learned,4
leaf,4
late,4
largely,4
lareau,4
land,4
laid,4
labor,4
junior,4
join,4
items,4
interviews,4
intervention,4
interpersonal,4
innovative,4
ingredient,4
indifferent,4
incentive,4
improves,4
improved,4
impacts,4
image,4
identity,4
ideal,4
houses,4
hour,4
hospital,4
hemisphere,4
helpful,4
harder,4
guidelines,4
globalization,4
genome,4
genes,4
gave,4
gases,4
gaming,4
games,4
gains,4
gadgets,4
fully,4
focuses,4
firm,4
fight,4
female,4
fees,4
feeding,4
features,4
familiar,4
fall,4
facts,4
facial,4
faces,4
facebook,4
explanation,4
explains,4
expert,4
exists,4
exercise,4
executives,4
executive,4
exciting,4
exactly,4
everywhere,4
estimated,4
estate,4
establish,4
enable,4
emerged,4
elementary,4
efficient,4
educators,4
east,4
duke,4
drought,4
dream,4
drawing,4
dominated,4
domestic,4
display,4
discovery,4
disasters,4
difficulty,4
difference,4
device,4
details,4
depression,4
demands,4
deliver,4
defined,4
deficit,4
declared,4
decent,4
deal,4
date,4
databases,4
dangers,4
creativity,4
creating,4
covered,4
court,4
course,4
contract,4
content,4
contain,4
contact,4
constantly,4
conflict,4
confidence,4
comprehensive,4
components,4
complaint,4
competitive,4
coming,4
combine,4
collections,4
clinical,4
cleaner,4
church,4
changed,4
certification,4
centuries,4
celebrated,4
causes,4
category,4
carry,4
carli,4
careers,4
cards,4
capable,4
cancer,4
built,4
brown,4
broad,4
british,4
brings,4
break,4
boser,4
bodies,4
biological,4
biggest,4
battery,4
batteries,4
basis,4
attractive,4
athletes,4
associated,4
aspects,4
asking,4
asimov,4
argues,4
approaches,4
answers,4
angeles,4
ancestry,4
alumni,4
alcohol,4
agreed,4
agree,4
aftra,4
affluent,4
affects,4
affecting,4
affairs,4
advantages,4
adulthood,4
achievements,4
accurately,4
accepted,4
acceptance,4
academy,4
zdziarski,3
writes,3
worst,3
worked,3
wonder,3
witlin,3
wish,3
wireless,3
winning,3
wine,3
wilhelm,3
wide,3
went,3
weekends,3
weeds,3
weak,3
watching,3
washington,3
warn,3
warm,3
walmart,3
wages,3
vital,3
virtually,3
viewed,3
videos,3
vacationing,3
utility,3
users,3
urge,3
universe,3
unhealthy,3
uncomfortable,3
typically,3
typical,3
twitter,3
turns,3
turned,3
trip,3
tries,3
trends,3
tremendous,3
transportation,3
tourist,3
topics,3
tired,3
thrive,3
threats,3
thousands,3
terrorist,3
tennessee,3
temperatures,3
tells,3
techniques,3
taxes,3
talking,3
tactics,3
tablets,3
symptoms,3
sustainable,3
surinamensium,3
super,3
subsidies,3
subjects,3
stream,3
straight,3
stopped,3
stocks,3
stimulus,3
statement,3
standing,3
stand,3
stance,3
spots,3
spooner,3
spirit,3
speech,3
solid,3
solar,3
smokers,3
sized,3
singers,3
signaling,3
shown,3
shorter,3
shop,3
sharers,3
shape,3
servants,3
selective,3
select,3
seldom,3
seek,3
sector,3
secretary,3
scott,3
sciences,3
sarah,3
sample,3
salary,3
sahel,3
ruins,3
rubbish,3
routine,3
robust,3
road,3
rivers,3
rivals,3
rift,3
richer,3
revealed,3
returned,3
return,3
reserve,3
resembles,3
researcher,3
requiring,3
represents,3
represent,3
repeated,3
renewables,3
renewable,3
remote,3
relevant,3
reinvention,3
registered,3
region,3
regardless,3
reform,3
reflection,3
refers,3
redundant,3
recover,3
recognize,3
recession,3
received,3
receive,3
realized,3
realize,3
rapidly,3
rapid,3
rainfall,3
radio,3
quiet,3
putting,3
puts,3
pushed,3
purpose,3
publication,3
proportion,3
promote,3
promising,3
programme,3
profits,3
professionals,3
producing,3
processing,3
procedures,3
prize,3
pricing,3
preventing,3
prevent,3
press,3
presidents,3
prepared,3
predicted,3
predators,3
powered,3
posting,3
populations,3
popularity,3
poorer,3
polluted,3
politics,3
poles,3
poem,3
plenty,3
planned,3
piece,3
physics,3
physicians,3
phenomenon,3
performers,3
percentage,3
pays,3
pattern,3
patient,3
path,3
passed,3
partners,3
partly,3
particularly,3
participating,3
participate,3
parisian,3
para,3
pair,3
pacific,3
overworking,3
overwintering,3
orthodox,3
original,3
organizations,3
orbit,3
option,3
openness,3
olds,3
officer,3
offered,3
observations,3
nursing,3
noting,3
notes,3
noted,3
note,3
north,3
nonprofit,3
newspaper,3
networks,3
neighborhood,3
negotiation,3
needy,3
nearby,3
nasa,3
movie,3
mountain,3
mothers,3
morning,3
monitoring,3
moment,3
mobile,3
missions,3
mineral,3
mind,3
millennium,3
midnight,3
metric,3
metamorphosis,3
meeting,3
measures,3
meaningful,3
maybe,3
match,3
marketing,3
manufacturers,3
manufacturer,3
managers,3
makers,3
maker,3
maintain,3
main,3
lunch,3
lonely,3
live,3
link,3
lies,3
league,3
leads,3
leadership,3
leaders,3
lawmakers,3
landscape,3
laboratory,3
korea,3
knows,3
kitchens,3
killing,3
justify,3
justice,3
journalists,3
johnson,3
issued,3
iphones,3
involving,3
involve,3
invade,3
introduce,3
interventions,3
internal,3
interfere,3
interesting,3
intellectual,3
insectorum,3
innovations,3
initiative,3
indicate,3
indians,3
indian,3
independence,3
included,3
implications,3
hypotheses,3
husband,3
humanity,3
housing,3
hopes,3
honest,3
homes,3
holding,3
hogg,3
hobbyists,3
historical,3
hiring,3
hills,3
highlights,3
hepburn,3
head,3
hazards,3
haven,3
harvest,3
harris,3
harmful,3
hardly,3
hanlon,3
hall,3
grid,3
grew,3
gray,3
graduation,3
governor,3
gone,3
giving,3
george,3
genetics,3
generations,3
gained,3
gain,3
funders,3
funded,3
friday,3
french,3
fourth,3
founder,3
former,3
forced,3
force,3
footprint,3
flight,3
flew,3
fleet,3
fish,3
findings,3
finance,3
finally,3
figures,3
fighting,3
fierce,3
festival,3
feet,3
feelings,3
feed,3
favor,3
fashioned,3
farm,3
farley,3
fair,3
failed,3
faced,3
extremely,3
extra,3
exports,3
expense,3
expectations,3
expectancy,3
expansion,3
exist,3
exaggerated,3
everyday,3
event,3
evenings,3
essays,3
escape,3
equally,3
equal,3
entrepreneurs,3
entirely,3
enormous,3
enjoying,3
enhance,3
english,3
england,3
engineers,3
engineering,3
engineer,3
engaging,3
enforcement,3
enemy,3
endangered,3
encryption,3
employee,3
employed,3
emerge,3
elsewhere,3
eight,3
economics,3
eating,3
earnings,3
duties,3
dryness,3
drunk,3
droujkova,3
dropped,3
drop,3
dresses,3
drechsel,3
drawings,3
draw,3
dramatically,3
downtown,3
dollars,3
diverse,3
distractions,3
distinct,3
discussed,3
discrimination,3
discipline,3
direction,3
direct,3
dinner,3
dining,3
diets,3
diet,3
dewalt,3
develop,3
determination,3
destruction,3
desk,3
depressed,3
depleted,3
depicted,3
demonstrated,3
demanding,3
defend,3
dedicated,3
decreases,3
declaration,3
datasets,3
dataset,3
darwin,3
dangerous,3
customer,3
cure,3
cruz,3
crowded,3
cross,3
critics,3
craftsmen,3
coupled,3
costly,3
corporate,3
cook,3
conventional,3
convenient,3
controls,3
contribution,3
contributes,3
contrary,3
continued,3
context,3
contest,3
constitute,3
considered,3
conservation,3
confronting,3
confrontation,3
conducted,3
conducive,3
concluded,3
concerning,3
computers,3
complicated,3
complete,3
complain,3
competitors,3
competed,3
companion,3
committee,3
commission,3
comfortable,3
color,3
collection,3
coca,3
coast,3
coach,3
cleaning,3
classroom,3
claimed,3
claim,3
civilisation,3
citations,3
circle,3
cigarettes,3
choosing,3
cholesterol,3
china,3
chief,3
characters,3
characteristics,3
character,3
chance,3
challenging,3
central,3
cautions,3
causing,3
categories,3
catastrophic,3
capabilities,3
camps,3
cameras,3
camera,3
calculus,3
cable,3
butts,3
burnout,3
burbidge,3
bubble,3
breaking,3
brazil,3
bosses,3
boss,3
bored,3
bois,3
board,3
bluemercury,3
bernardino,3
believes,3
belching,3
begun,3
beecher,3
beauty,3
bases,3
background,3
aviation,3
autonomy,3
australia,3
audrey,3
attend,3
artistic,3
artificial,3
arousal,3
army,3
apps,3
appears,3
anytime,3
anxious,3
anticipated,3
answering,3
announced,3
andrew,3
amish,3
altogether,3
allowing,3
aiming,3
affected,3
advocate,3
advertisers,3
adidas,3
adequate,3
additional,3
actor,3
achievement,3
achieved,3
accuracy,3
accounts,3
accounting,3
absolutely,3
zones,2
zaharopol,2
younger,2
yoga,2
yellow,2
wrapping,2
workload,2
woke,2
wisdom,2
wind,2
wildlife,2
wider,2
wetlands,2
wellness,2
welcome,2
weigh,2
wedding,2
wearing,2
wealthier,2
watson,2
waterways,2
waters,2
watched,2
wasteful,2
washed,2
warns,2
warnings,2
warming,2
walk,2
vulnerabilities,2
voted,2
volunteerssection,2
volunteer,2
vladimir,2
visits,2
visitors,2
virtual,2
versions,2
version,2
venus,2
varies,2
valley,2
vacations,2
utopian,2
urgency,2
upset,2
unworkable,2
unprecedented,2
unnecessary,2
unlike,2
unit,2
unions,2
unintended,2
unexpected,2
unemployed,2
undesirable,2
understood,2
underserved,2
underrepresented,2
underlying,2
underdiagnosed,2
unchanged,2
unaffordable,2
types,2
turnover,2
tuition,2
truly,2
troublesome,2
trouble,2
tropical,2
trinity,2
tricks,2
trick,2
trials,2
treated,2
traveler,2
transmission,2
transformed,2
traits,2
tradition,2
track,2
toxic,2
tours,2
toll,2
tolerance,2
tissues,2
timothy,2
timeline,2
throw,2
threatening,2
thoughts,2
thirst,2
therefore,2
therapy,2
theory,2
theft,2
thanksgiving,2
thank,2
testing,2
testify,2
territory,2
terapio,2
tension,2
telling,2
tell,2
televisions,2
telepressure,2
telepresence,2
teenage,2
teams,2
taxpayer,2
tall,2
talents,2
talented,2
tagged,2
table,2
sympathetic,2
symbolize,2
switch,2
swimming,2
swimmers,2
swanson,2
sustainably,2
suspects,2
susceptible,2
survival,2
surveillance,2
surrounding,2
surprisingly,2
surprised,2
surpass,2
surfing,2
supplies,2
superior,2
summit,2
sukkarieh,2
suited,2
substitutes,2
substantial,2
structures,2
stronger,2
striking,2
strict,2
stretch,2
stressful,2
strength,2
strategies,2
storms,2
storing,2
stories,2
stones,2
stock,2
stereotype,2
stephen,2
stems,2
steep,2
steam,2
stayed,2
statistic,2
star,2
stanford,2
standardized,2
stale,2
stable,2
square,2
sputnik,2
spurring,2
springs,2
spokeswoman,2
split,2
spider,2
spells,2
speed,2
specifically,2
speak,2
southern,2
sounds,2
sooner,2
somewhat,2
soda,2
sociologist,2
socioeconomic,2
smoker,2
slowing,2
sleeping,2
slaves,2
slash,2
skiing,2
skeptical,2
sitting,2
site,2
sisters,2
simultaneously,2
similarly,2
signs,2
signify,2
signals,2
sides,2
shrinking,2
showing,2
shot,2
shortcuts,2
shortages,2
shoes,2
shlizerman,2
shelter,2
shapiro,2
shapes,2
shadow,2
seven,2
session,2
servings,2
serves,2
serrat,2
seriously,2
separate,2
sent,2
sensitivity,2
sensational,2
sells,2
seconds,2
sealed,2
scored,2
scooped,2
scholarship,2
scheduled,2
scene,2
scenarios,2
saves,2
saul,2
satisfactory,2
sanitation,2
sanctuary,2
sanctuaries,2
samples,2
salt,2
sally,2
salinity,2
salaries,2
sadoway,2
rusczyk,2
rural,2
running,2
route,2
rose,2
roots,2
rooted,2
rome,2
roller,2
rocky,2
rises,2
rings,2
rigorous,2
rewards,2
revolutionary,2
revive,2
revenues,2
reveal,2
returning,2
resulted,2
restructuring,2
restaurant,2
resourceful,2
resolve,2
resistance,2
researches,2
researched,2
rescue,2
requirements,2
request,2
reproduced,2
reporting,2
repeatedly,2
repaying,2
remembering,2
remark,2
remained,2
relies,2
relics,2
reliability,2
relaxation,2
relatively,2
relative,2
rejected,2
reinvented,2
reinforce,2
regularly,2
regarded,2
refusing,2
refuge,2
refrain,2
reflects,2
reflected,2
referred,2
refer,2
reductions,2
reducing,2
reduced,2
recovering,2
recorders,2
recipes,2
recall,2
rebellion,2
reasonably,2
reasonable,2
reardon,2
readily,2
rational,2
raschid,2
rarely,2
ranked,2
randomly,2
races,2
quite,2
quietly,2
quick,2
quantity,2
qualifications,2
pushing,2
pushes,2
pursuit,2
pure,2
purdue,2
purchases,2
publishers,2
publicly,2
publicity,2
psychologists,2
provoking,2
proves,2
protecting,2
protected,2
protect,2
proposed,2
property,2
promptly,2
promoting,2
promoted,2
promises,2
prolonged,2
prohibit,2
programmed,2
profit,2
profile,2
proficiency,2
profession,2
prof,2
productive,2
productions,2
producers,2
producer,2
prized,2
privileged,2
printer,2
pride,2
previous,2
prevails,2
prevail,2
presumably,2
preserve,2
presented,2
prepare,2
premiums,2
prefer,2
predictions,2
predict,2
precisely,2
precautions,2
praised,2
practices,2
pounds,2
potent,2
possibly,2
position,2
poses,2
portion,2
popularization,2
pointed,2
plunged,2
playthings,2
plays,2
played,2
platforms,2
plastic,2
planning,2
planck,2
placed,2
pine,2
pilot,2
pick,2
pest,2
personnel,2
persistent,2
perlow,2
performing,2
perfect,2
perceive,2
penalties,2
pemberton,2
peak,2
